model,query_variant_strategy,video_id,event,gt_time,subjectivity,top1_query_variant,top1_time,top1_score,top1_iou,best_iou_at_k
CG-DETR,cleaned,6,The RV is secured with a yellow rope tied to a tree,00:43 - 00:52,1,The RV is secured with a yellow rope tied to a tree,03:46 - 04:25,0.9996,0.0,0.0
CG-DETR,cleaned,6,"The camera follows the truck as it moves, capturing the surrounding environment and the movement of the truck",00:31 - 00:42,1,"The camera follows the truck as it moves, capturing the surrounding environment and the movement of the truck",00:29 - 01:45,0.9988,0.14309799350595287,0.14309799350595287
CG-DETR,cleaned,6,The second truck reversing close to the stuck truck,02:32 - 02:48,1,The second truck reversing close to the stuck truck,00:40 - 01:46,0.999,0.0,0.4617015755629625
CG-DETR,cleaned,6,The truck continues to move down the road,03:44 - 04:26,1,The truck continues to move down the road,03:38 - 04:53,0.999,0.5614297744923742,0.5614297744923742
CG-DETR,cleaned,6,"The truck is tilted to the side, and the camera angle is low, giving a perspective from the ground looking up at the truck",01:26 - 01:28,1,"The truck is tilted to the side, and the camera angle is low, giving a perspective from the ground looking up at the truck",00:56 - 01:47,0.9983,0.03936690149023405,0.03936690149023405
CG-DETR,cleaned,6,The truck is white with a blue stripe and has a large crane attached to its back,03:44 - 04:26,1,The truck is white with a blue stripe and has a large crane attached to its back,03:47 - 04:24,0.9995,0.8961547619047617,0.8961547619047617
CG-DETR,cleaned,6,"The video begins with a view of a wooden patio area, featuring a table and chairs, set against a backdrop of a hillside covered in grass and trees",00:00 - 00:10,1,"a view of a wooden patio area, featuring a table and chairs, set against a backdrop of a hillside covered in grass and trees",00:00 - 00:17,0.9996,0.5950316633075337,0.5950316633075337
CG-DETR,find_moment,6,The RV is secured with a yellow rope tied to a tree,00:43 - 00:52,1,Find the moment showing the RV is secured with a yellow rope tied to a tree,03:46 - 04:28,0.9991,0.0,0.0
CG-DETR,find_moment,6,"The camera follows the truck as it moves, capturing the surrounding environment and the movement of the truck",00:31 - 00:42,1,"Find the moment showing the camera follows the truck as it moves, capturing the surrounding environment and the movement of the truck",00:29 - 01:46,0.9975,0.14309427050540896,0.14309427050540896
CG-DETR,find_moment,6,The second truck reversing close to the stuck truck,02:32 - 02:48,1,Find the moment showing the second truck reversing close to the stuck truck,00:38 - 01:46,0.9991,0.0,0.25720371337861186
CG-DETR,find_moment,6,The truck continues to move down the road,03:44 - 04:26,1,Find the moment showing the truck continues to move down the road,00:34 - 01:45,0.999,0.0,0.5702686372616244
CG-DETR,find_moment,6,"The truck is tilted to the side, and the camera angle is low, giving a perspective from the ground looking up at the truck",01:26 - 01:28,1,"Find the moment showing the truck is tilted to the side, and the camera angle is low, giving a perspective from the ground looking up at the truck",00:55 - 01:47,0.9982,0.03864301199092662,0.03864301199092662
CG-DETR,find_moment,6,The truck is white with a blue stripe and has a large crane attached to its back,03:44 - 04:26,1,Find the moment showing the truck is white with a blue stripe and has a large crane attached to its back,03:47 - 04:27,0.9989,0.908264434059627,0.908264434059627
CG-DETR,find_moment,6,"The video begins with a view of a wooden patio area, featuring a table and chairs, set against a backdrop of a hillside covered in grass and trees",00:00 - 00:10,1,"Find the moment showing a view of a wooden patio area, featuring a table and chairs, set against a backdrop of a hillside covered in grass and trees",00:00 - 00:17,0.9996,0.5969096084387782,0.5969096084387782
CG-DETR,raw_vlm,6,The RV is secured with a yellow rope tied to a tree,00:43 - 00:52,1,The RV is secured with a yellow rope tied to a tree,03:46 - 04:25,0.9996,0.0,0.0
CG-DETR,raw_vlm,6,"The camera follows the truck as it moves, capturing the surrounding environment and the movement of the truck",00:31 - 00:42,1,"The camera follows the truck as it moves, capturing the surrounding environment and the movement of the truck",00:29 - 01:45,0.9988,0.14309799350595287,0.14309799350595287
CG-DETR,raw_vlm,6,The second truck reversing close to the stuck truck,02:32 - 02:48,1,The second truck reversing close to the stuck truck,00:40 - 01:46,0.999,0.0,0.4617015755629625
CG-DETR,raw_vlm,6,The truck continues to move down the road,03:44 - 04:26,1,The truck continues to move down the road,03:38 - 04:53,0.999,0.5614297744923742,0.5614297744923742
CG-DETR,raw_vlm,6,"The truck is tilted to the side, and the camera angle is low, giving a perspective from the ground looking up at the truck",01:26 - 01:28,1,"The truck is tilted to the side, and the camera angle is low, giving a perspective from the ground looking up at the truck",00:56 - 01:47,0.9983,0.03936690149023405,0.03936690149023405
CG-DETR,raw_vlm,6,The truck is white with a blue stripe and has a large crane attached to its back,03:44 - 04:26,1,The truck is white with a blue stripe and has a large crane attached to its back,03:47 - 04:24,0.9995,0.8961547619047617,0.8961547619047617
CG-DETR,raw_vlm,6,"The video begins with a view of a wooden patio area, featuring a table and chairs, set against a backdrop of a hillside covered in grass and trees",00:00 - 00:10,1,"The video begins with a view of a wooden patio area, featuring a table and chairs, set against a backdrop of a hillside covered in grass and trees",00:00 - 00:17,0.9996,0.5999555992895886,0.5999555992895886
CG-DETR,screen_text,6,The RV is secured with a yellow rope tied to a tree,00:43 - 00:52,1,The RV is secured with a yellow rope tied to a tree,03:46 - 04:25,0.9996,0.0,0.0
CG-DETR,screen_text,6,"The camera follows the truck as it moves, capturing the surrounding environment and the movement of the truck",00:31 - 00:42,1,The camera follows the truck as it moves,03:41 - 04:51,0.9993,0.0,0.05386419351195497
CG-DETR,screen_text,6,The second truck reversing close to the stuck truck,02:32 - 02:48,1,The second truck reversing close to the stuck truck,00:40 - 01:46,0.999,0.0,0.4617015755629625
