model,query_variant_strategy,video_id,event,gt_time,subjectivity,top1_query_variant,top1_time,top1_score,top1_iou,best_iou_at_k
CG-DETR,cleaned,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",01:58 - 02:28,0.9854,0.0,0.44265568400926153
CG-DETR,cleaned,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",04:52 - 05:28,0.9693,0.0,0.14255886709112497
CG-DETR,cleaned,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"The video ends with a view from inside the car, showing the driver and another person in the back seat",01:18 - 01:48,0.9991,0.0,0.6219263803793204
CG-DETR,find_moment,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"Find the moment showing the individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",01:58 - 02:29,0.9376,0.0,0.38170829389062844
CG-DETR,find_moment,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"Find the moment showing the scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",04:50 - 05:27,0.9562,0.0,0.12491464161250829
CG-DETR,find_moment,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"Find the moment showing the video ends with a view from inside the car, showing the driver and another person in the back seat",01:19 - 01:48,0.9991,0.0,0.6215693712551587
CG-DETR,raw_vlm,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",01:58 - 02:28,0.9854,0.0,0.44265568400926153
CG-DETR,raw_vlm,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",04:52 - 05:28,0.9693,0.0,0.14255886709112497
CG-DETR,raw_vlm,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"The video ends with a view from inside the car, showing the driver and another person in the back seat",01:18 - 01:48,0.9991,0.0,0.6219263803793204
CG-DETR,screen_text,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,The individuals are seen working together to clear the snow,00:01 - 01:18,0.9638,0.2906529518135283,0.539439573508612
CG-DETR,screen_text,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",04:52 - 05:28,0.9693,0.0,0.14255886709112497
CG-DETR,screen_text,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,The video ends with a view from inside the car,01:16 - 01:48,0.9962,0.0,0.2445305701407023
CG-DETR,short_action,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,The individuals are seen working together to clear the snow,00:01 - 01:18,0.9638,0.2906529518135283,0.539439573508612
CG-DETR,short_action,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,The scene is set in a wooded area with trees and bushes covered in snow,02:37 - 03:22,0.9867,0.0,0.0
CG-DETR,short_action,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,The video ends with a view from inside the car,01:16 - 01:48,0.9962,0.0,0.2445305701407023
CG-DETR,the_video_shows,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"The video shows the individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:07 - 01:20,0.9399,0.21074464408692778,0.4281023767780523
CG-DETR,the_video_shows,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The video shows the scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:50 - 03:37,0.9775,0.03817689946530399,0.20028125709196123
CG-DETR,the_video_shows,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"The video shows the video ends with a view from inside the car, showing the driver and another person in the back seat",01:18 - 01:48,0.999,0.0,0.6221204059152671
Moment-DETR,cleaned,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:17 - 01:31,0.9915,0.07831768212416186,0.07831768212416186
Moment-DETR,cleaned,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",04:41 - 05:27,0.9875,0.0,0.21907056953315013
Moment-DETR,cleaned,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"The video ends with a view from inside the car, showing the driver and another person in the back seat",01:12 - 01:50,0.9994,0.0,0.2766390095812791
Moment-DETR,find_moment,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"Find the moment showing the individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:18 - 01:29,0.9824,0.06372162367436496,0.8861541666666667
Moment-DETR,find_moment,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"Find the moment showing the scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",04:41 - 05:25,0.9901,0.0,0.1624061488261815
Moment-DETR,find_moment,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"Find the moment showing the video ends with a view from inside the car, showing the driver and another person in the back seat",01:12 - 01:50,0.9996,0.0,0.2794215195136922
